"txt.msgTituloMetodoPagamentoCartao","Cartão de Crédito"
"txt.msgTituloMetodoPagamentoDebito","Débito Online"
"txt.msgTituloMetodoPagamentoBoleto","Boleto"
"txt.numParcelas","Número de parcelas"
"txt.numeroCartao","Número do cartão"
"txt.validade","Validade"
"txt.codigoSeguranca","Código de segurança"
"txt.Parcelas","Escolha a forma de pagamento"
"txt.msgAjudaCodSeguranca","o que é isso?"

"txt.titularCartao","Titular do cartão de crédito"
"txt.msgTituloNomeTitularCartao","Nome"
"txt.cpfTitularCartao","CPF"
"txt.nascimentoTitularCartao","Data de Nascimento"
"txt.foneTitularCartao","Telefone"
"txt.msgInformacaoDebito","Após o fechamento do pedido você será redirecionado ao ambiente da operadora para informar os dados do cartão."

"txt.msgBin1","O número do BIN para o cartão de crédito Hipercard é uma sequência numérica integrante do número do cartão."
"txt.msgBin2","Para o cartão Hipercard:"
"txt.msgBin3","Informar os seis números localizados acima do número do cartão."
"txt.msgBin4","Em cartões Hipercard, que não tem número BIN, você deve digitar os 16 números no campo: Número do cartão."

"txt.msgTransacaoProcessada","Sua transação foi processada pelo PagSeguro."
"txt.msgTransacao1","A sua transação está: "
"txt.msgTransacao2"," O código da transação no PagSeguro é: "
"txt.msgTransacao3","Caso tenha alguma dúvida referente à transação, entre em contato com o PagSeguro."

"txt.msgPagamentoPagSeguro", "Seu pagamento será processado pelo"

"Zip/Postal Code","CEP"
"Please wait...","Por favor, aguarde..."
"txt.MsgPagSeg1","Após a conclusão do pedido, você será redirecionado ao PagSeguro para realizar o pagamento."
"txt.MsgPagSeg2","  Você está sendo redirecionado para o PagSeguro. Por favor, aguarde..."

"txt.MsgErro","O pagamento não foi processado com sucesso. Motivo(s): "
"txt.MsgErroAjuda","Em caso de dúvidas entre em contato com o PagSeguro e informe o código do erro apresentado."
"txt.MsgErroConexao","Ocorreu um erro ao enviar o pedido ao PagSeguro, por favor, tente mais tarde."
"txt.undefined","Não possível processar essa requisição. Por favor, entre em contato com a loja informando o código: "
"Payment Discount","Desconto"

"txt.abrirPagBanco","Abrir página do banco"
"txt.Parcelas","Escolha a forma de pagamento"
"txt.avista"," &agrave; vista "
"txt.descontoDe","(desconto de "
"txt.percent","%)"
"txt.xde","x de "
"txt.cJuros"," c/ juros ("
"txt.percAM","% a.m)"
"txt.semjuros"," sem juros"
"txt.astDescontoDe","* desconto de "
"txt.perc","%"

"txt.msgGerarBoleto","Clique em ""Gerar boleto"" e realize o pagamento através de seu Internet Banking ou agência bancária."

"txt.msgTelaDebito1","Quando você clicar no botão 'Abrir página do banco', uma nova janela será aberta no ambiente seguro do Banco."
"txt.msgTelaDebito2","Siga as instruções de pagamento no ambiente do banco."
"txt.msgTelaDebito3","Após finalizar o pagamento, você será automaticamente redirecionado para a página da loja."
"txt.msgTelaDebito4","Após fechar a janela do Banco ou Operadora, por favor aguarde 10 segundos para que o seu pagamento seja processado. "
"txt.msgTelaDebito5","Por favor, não feche esta janela até que seu pagamento seja processado."
"txt.abrirPagBanco","Abrir página do banco"
